title,description,symbol,sentiment
Apple earnings; LVMH reports; Huawei charged,"Here's what you need to know about the markets before you start your business day.
    
",AAPL,
"Gold reaches seven-month high as stocks, dollar struggle","Gold climbed to a seven-month high on Tuesday as markets opted for caution before three major macro events and a blizzard of big tech company earnings in the coming days, starting with Apple later.
  
",AAPL,
"Palestinian prime minister tenders resignation, government's to Abbas","Palestinian Prime Minister Rami Al-Hamdallah said on Tuesday he tendered his resignation and that of his unity government to President Mahmoud Abbas, dealing a blow to faltering reconciliation efforts with Gaza's Islamist Hamas rulers.
  
",AMD,
How to turn off FaceTime and avoid Apple's eavesdropping bug,"How to disable FaceTime on your iPhone, iPad and Mac to avoid falling victim to the Apple eavesdropping bug.
    
",AAPL,
Apple and Aetna are teaming up on a new app to help track and reward healthy behavior,Apple and Aetna are collaborating on a first-of-its-kind app and health experience.,AAPL,
"Palestinian PM, government resign","Palestinian Prime Minister Rami Al-Hamdallah has tendered his resignation and that of his unity government to President Mahmoud Abbas, he said on Tuesday, dealing a blow to faltering reconciliation efforts with Gaza's Islamist Hamas rulers.
  
",AMD,
Apple removes FaceTime group calling as it tries to fix spying bug,A bug in FaceTime lets you listen to someone ? even if they don't pick up.,AAPL,
Here comes the earnings report Apple warned about ? here's what to watch,Four weeks ago Apple lowered revenue projections for the period and poured cold water on the stock.,AAPL,
"Smartphone screen maker Corning beats revenue, profit estimates","Apple supplier Corning Inc bucked the trend for shaky phone and chipmaker results on Tuesday, beating expectations for both revenue and profit in the fourth quarter, helped by demand from telecom companies looking to upgrade their networks to 5G.
  
",AAPL,
"UPDATE 1-Smartphone screen maker Corning beats revenue, profit estimates","Apple supplier Corning Inc bucked
the trend for shaky phone and chipmaker results on Tuesday,
beating expectations for both revenue and profit in the fourth
quarter, helped by demand from telecom companies looking to
upgrade their networks to 5G.
  
",AAPL,
Another jab at Amazon: Walmart is bringing sports apparel retailer Fanatics to its website,"Walmart has landed a deal with sports apparel marketplace Fanatics to sell NFL jerseys, NBA T-shirts and other sports-related merchandise on Walmart.com.",AMZN,
"Google, Facebook, Twitter must do more against fake news: EU","Google, Facebook, Twitter and Mozilla must do more to combat fake news as Europeans head towards an election or the companies will face the threat of regulatory action, the European Commission said on Tuesday.
  
",FB,
"Google, Facebook, Twitter must do more against fake news - EU","Google, Facebook
, Twitter and Mozilla must do more to combat fake
news as Europeans head towards an election or the companies will
face the threat of regulatory action, the European Commission
said on Tuesday.
  
",FB,
Gold reaches seven-month high as dollar struggles,"Gold climbed to a seven-month high on Tuesday and stocks were back on the up too, as investors dug in for three days of political and economic drama and a blizzard of big tech earnings, starting with Apple later.
  
",AAPL,
"What's streaming on Netflix, Hulu, Amazon in February","February is for lovers and there's a lot to love when it comes to streaming next month.
    
",AMZN,
"Gold hits seven-month high, stocks mixed amid trade caution, results","Gold hit an eight-month high while world stock markets were mixed ahead of further U.S.-Sino trade talks, a raft of technology company results starting with Apple later on Tuesday and an impending Federal Reserve decision on interest rates.
  
",AAPL,
"GLOBAL MARKETS-Gold hits seven-month high, stocks mixed amid trade caution, results","Gold hit an eight-month high
while world stock markets were mixed ahead of further U.S.-Sino
trade talks, a raft of technology company results starting with
Apple later on Tuesday and an impending Federal Reserve decision
on interest rates.
  
",AAPL,
Apple?s Streaming Video Service Could Launch as Soon as April,"Apple?s streaming video service may still not have a name, but a new report says that the streaming platform and its various original titles could launch as soon as this spring. The tech company is reportedly planning an April 2019 date for the Apple streaming service launch, which would put the platform in direct competition [?]
The post Apple?s Streaming Video Service Could Launch as Soon as April appeared first on /Film.",AAPL,
UPDATE 1-European shares hold gains ahead of events blizzard,"* Apple to report after U.S. closing bell
(adds quotes, closing prices)
  
",AAPL,
"Here's how 70,000 Apple store staff start every single day","It's a problem for every large company: how to manage mass communication to thousands of employees, especially if those people represent the business in stores around the world.  As you might expect, Apple is aiming to solve that problem with an app.",AAPL,
Facebook's plan to merge messaging services could be barred in the EU,"The regulator that oversees Facebook's activity in the EU said on Monday it will stop the integration of WhatsApp, Messenger and Instagram if it breaches privacy laws.",FB,
Porsche's all-electric Tesla rival to come with three years free charging,The German firm has signed a deal with auto charging infrastructure firm Electrify America.,TSLA,
5 Forbidden Phrases You Absolutely Must Avoid in Your Facebook Ad,"All caps and too many exclamation points are just the beginning. Facebook is cracking down on 'pain points' content and get-rich-quick schemes.
       
",FB,
"Palestinian prime minister, government resign","Palestinian Prime Minister Rami Al-Hamdallah has tendered his resignation and that of his unity government to President Mahmoud Abbas, he said on Tuesday, dealing a blow to faltering reconciliation efforts with Gaza's Islamist rulers Hamas.
  
",AMD,
Sasha Lane Steps Into Rooney Mara?s Old Role in Amazon?s Gillian Flynn Series ?Utopia?,"Once upon a time, David Fincher was going to make a follow-up project with Gillian Flynn to ?Gone Girl.? It was an ambitious British series adaptation called ?Utopia,? set up at HBO, Gillian Flynn writing the script and Rooney Mara playing the lead role. It was the most anticipated project you had ever heard of especially after ?Gone Girl? had put Flynn on the map and dominated the cultural conversation in the fall of 2014, regardless of whether it had much of a shot at Oscar contention, the movie was a minor phenomenon.
Continue reading Sasha Lane Steps Into Rooney Mara?s Old Role in Amazon?s Gillian Flynn Series ?Utopia? at The Playlist.",AMZN,
"Tech keeps Nasdaq, S&P under pressure; industrials lift Dow","The S&P 500 and the Nasdaq came under pressure from weakness in technology stocks ahead of Apple's results on Tuesday, while a rebound in industrial stocks lifted the Dow.
  
",AAPL,
Apple expands its Today at Apple sessions - and creativity with it,Apple's celebration of creativity has been expanded today in stores around the world - what does this mean for professional creatives?,AAPL,
Wall Street mixed as Apple tees up its quarterly report,"Wall Street was mixed on Tuesday, with technology shares dipping ahead of Apple's quarterly report while a rebound in 3M and other industrials elevated the Dow Jones Industrial Average.
  
",AAPL,
US STOCKS-Wall Street mixed as Apple tees up its quarterly report,"* Dow up 0.21 pct, S&P 500 down 0.16 pct, Nasdaq down 0.73
pct
(Updates to afternoon)
  
",AAPL,
"GLOBAL MARKETS-Gold hits eight-month high, stocks mixed amid trade caution, results","Gold hit an eight-month high
while world stock markets were mixed ahead of further U.S.-Sino
trade talks, a raft of technology company results starting with
Apple later on Tuesday and an impending Federal Reserve decision
on interest rates.
  
",AAPL,
"Gold hits eight-month high, stocks mixed amid trade caution, results","Gold hit an eight-month high while world stock markets were mixed ahead of further U.S.-Sino trade talks, a raft of technology company results starting with Apple later on Tuesday and an impending Federal Reserve decision on interest rates.
  
",AAPL,
Stuck on a gift for Valentine's Day? These cool tech products give back with every purchase,"What's better than giving a friend or special someone a great gift? A gift that gives back. (RED) has partnered with tech brands like Apple, Beats By Dre and Amazon for limited-edition products.
    
",AMZN,
A tiny screw shows why Apple's iPhones won't be 'assembled in USA',Starting pay for workers assembling its products in China costs about $3.15 an hour. Compensation for similar jobs in the United States is significantly higher,AAPL,
S&P falls with technology drag; 3M boosts Dow,"Wall Street was mixed on Tuesday, with technology shares dipping ahead of Apple's quarterly report while a rebound in 3M and other industrials elevated the Dow Jones Industrial Average.
  
",AAPL,
US STOCKS SNAPSHOT-S&P falls with technology drag; 3M boosts Dow,"Wall Street was mixed on Tuesday, with
technology shares dipping ahead of Apple's quarterly report
while a rebound in 3M and other industrials elevated the Dow
Jones Industrial Average.
  
",AAPL,
"Apple sees U.S.-China tensions easing, services business growing","Apple Inc said sales for its fiscal second quarter would most likely be lower than Wall Street expected, a signal that it continues to face weak demand for its iPhone, especially in China, the world's biggest smartphone market.
  
",AAPL,
"AMD reports record data center revenue, shares jump","Advanced Micro Devices Inc on Tuesday said it saw record growth in data center revenue, in sharp contrast to results by bigger rivals Nvidia Corp and Intel Corp.
  
",MSFT,
Wall Street wavers as Apple tees up its quarterly report,"Wall Street was mixed on Tuesday, with technology shares dipping ahead of Apple's quarterly report while a rebound in 3M and other industrials elevated the Dow Jones Industrial Average.
  
",AAPL,
Trump's Twitter insult about 'Team of Vipers' might be helping Cliff Sims sell books,"""Team of Vipers"" has been moving up Amazon's best selling ever since Trump's tweet, and it now stands at No. 6.
    
",AMZN,
"UPDATE 1-Apple sees US-China tensions easing, services business growing","Apple Inc said sales for its
fiscal second quarter would most likely be lower than Wall
Street expected, a signal that it continues to face weak demand
for its iPhone, especially in China, the world's biggest
smartphone market.
  
",AAPL,
"GLOBAL MARKETS-Gold hits 8-month high, stocks mixed amid trade caution, results","Gold hit an eight-month high
while world stock markets were mixed ahead of further U.S.-Sino
trade talks, a raft of technology company results starting with
Apple later on Tuesday and an impending Federal Reserve decision
on U.S. interest rates.
  
",AAPL,
Apple sees sales largely below Wall St as iPhone demand weak,"Apple Inc on Tuesday said sales
for its fiscal second quarter would most likely be lower than
Wall Street expected, a signal that it continues to face weak
demand for its iPhone, especially in China, the world's biggest
smartphone market.
  
",AAPL,
US STOCKS-Wall Street wavers as Apple tees up its quarterly report,"* Dow up 0.21 pct, S&P 500 down 0.15 pct, Nasdaq down 0.81
pct
(Updates to close)
  
",AAPL,
CORRECTED-US STOCKS-Wall Street mixed as Apple tees up its quarterly report,"* Dow up 0.21 pct, S&P 500 down 0.16 pct, Nasdaq down 0.73
pct
  
",AAPL,
"Apple services business grows, shares rise 6 percent","Apple Inc on Tuesday reported sharp growth in its services business and Chief Executive Tim Cook said trade tensions between the United States and China were easing, helping its shares up even after sales of its iPhone dipped in the holiday shopping quarter.
  
",AAPL,
Wall Street wavers as tech gives ground and industrials rebound,"Wall Street was mixed on Tuesday, with Alphabet, Facebook and other technology-related shares dipping, while a rebound in 3M and other industrials elevated the Dow Jones Industrial Average.
  
",FB,
This 14-year old found Apple's FaceTime bug before it went viral,"Fourteen-year old Grant Thompson was just trying to play video games with friends on a day off from school when he made an alarming discovery: a bug in Apple's FaceTime tool that could turn iPhones into eavesdropping devices.
    
",AAPL,
US STOCKS-Wall Street wavers as tech gives ground and industrials rebound,"* Dow up 0.21 pct, S&P 500 down 0.15 pct, Nasdaq down 0.81
pct
(Updates with Apple's results)
  
",AAPL,
"UPDATE 2-Apple services business grows, shares rise 6 pct","Apple Inc on Tuesday reported
sharp growth in its services business and Chief Executive Tim
Cook said trade tensions between the United States and China
were easing, helping its shares up even after sales of its
iPhone dipped in the holiday shopping quarter.
  
",AAPL,
"Apple services business grows, CEO Cook sees China tensions ease","Apple Inc reported sharp growth in its services business and Chief Executive Tim Cook said trade tensions between the United States and China were easing, helping the technology company's shares up after hours even as iPhone sales dipped in the holiday shopping quarter for the first time.
  
",AAPL,
AMD shares jump on record growth in data center revenue,"Chipmaker Advanced Micro Devices Inc on Tuesday reported record quarterly growth in data center sales and projected revenue growth in fiscal 2019 above Wall Street expectations, sending its shares up 10 percent after the bell.
  
",MSFT,
"UPDATE 3-Apple services business grows, CEO Cook sees China tensions ease","Apple Inc reported sharp growth
in its services business and Chief Executive Tim Cook said trade
tensions between the United States and China were easing,
helping the technology company's shares up after hours even as
iPhone sales dipped in the holiday shopping quarter for the
first time.
  
",AAPL,
iPhone suppliers rise after Apple's quarterly report,"** Shares of Apple suppliers up in extended trade after Apple's quarterly results and guide prove not as bad as some expected
  
",AAPL,
It's clearer than ever Apple's iPhone problem isn't going away,"Apple's iPhone business is in decline -- and there appears to be no end in sight.Apple's iPhone business is in decline -- and there appears to be no end in sight.
    
",AAPL,
Apple services business grows; CEO Cook says China tensions ease,"Apple Inc reported sharp growth in its services business on Tuesday and Chief Executive Tim Cook said trade tensions between the United States and China were easing, helping boost the company's shares after hours even though iPhone sales dipped in the holiday shopping quarter for the first time.
  
",AAPL,
UPDATE 4-Apple services business grows; CEO Cook says China tensions ease,"Apple Inc reported sharp growth
in its services business on Tuesday and Chief Executive Tim Cook
said trade tensions between the United States and China were
easing, helping boost the company's shares after hours even
though iPhone sales dipped in the holiday shopping quarter for
the first time.
  
",AAPL,
"Asian shares inch up after Apple earnings, CEO comments","U.S. stock futures and Asian equities eked out modest gains on Wednesday as investors seized on Apple Inc's earnings  and comments from its chief that U.S.-China trade tensions were easing, sending the iPhone maker's shares soaring in after-hours trade.
  
",AAPL,
"GLOBAL MARKETS-Asian shares inch up after Apple earnings, CEO comments","U.S. stock futures and Asian
equities eked out modest gains on Wednesday as investors seized
on Apple Inc's earnings  and comments from its chief
that U.S.-China trade tensions were easing, sending the iPhone
maker's shares soaring in after-hours trade.
  
",AAPL,
Daily Podcast: Is A Funko Pop Movie A Ridiculous Concept? Is The LEGO Movie Sequel Awesome? And The Death Of The Dark Universe,"On the January 29, 2019 episode of /Film Daily, /Film editor in chief Peter Sciretta is joined by /Film managing editor Jacob Hall and writer Hoai-Tran Bui to discuss the latest film and tv news. You can subscribe to /Film Daily on iTunes, Google Play, Overcast, Spotify and all the popular podcast apps (here is [?]
The post Daily Podcast: Is A Funko Pop Movie A Ridiculous Concept? Is The LEGO Movie Sequel Awesome? And The Death Of The Dark Universe appeared first on /Film.",GOOGL,
A 14-year old found the FaceTime bug. Apple didn't act for a week,Fourteen-year old Grant Thompson was just trying to play video games with friends on a day off from school when he made an alarming discovery: A bug in Apple's FaceTime tool that could turn iPhones into eavesdropping devices.,AAPL,
Apple's iPhone problem isn't going away,Apple's iPhone business is in decline -- and there appears to be no end in sight.,AAPL,
Is iPhone boring now? What Apple can do to fill the hole in its revenue,"If patterns from prior years hold, Apple's revenue may decline in the full year for the first time since 2016",AAPL,
"Global Markets: Asian shares inch up after Apple earnings, CEO comments","TOKYO (Reuters) - U.S. stock futures and Asian equities eked out modest gains on Wednesday as investors seized on Apple Inc's earnings  and comments from its chief that U.S.-China trade tensions were easing, sending the iPhone maker's shares soaring ...",AAPL,
Apple lowers some iPhone prices outside U.S. to offset strong dollar,"Apple Inc plans to cut the price of some of its flagship iPhones for only the second time in the device's 12-year history, pegging its retail value to past prices in local currencies outside the United States instead of the rising U.S. dollar.
  
",AAPL,
Nikkei falls as Dainippon Pharma offsets Apple optimism,"* Mothers futures market triggers circuit breaker, resumes
trade
  
",AAPL,
"Apple relief steadies Asian stocks, investors await Fed, U.S.-China talks","Asian equities steadied on Wednesday as investors awaited Federal Reserve policy guidance and the outcome of high level trade talks between the United States and China, while drawing relief from Apple Inc's earnings.
  
",AAPL,
"GLOBAL MARKETS-Apple relief steadies stocks, investors await Fed, U.S.-China talks","Asian equities steadied on
Wednesday as investors awaited Federal Reserve policy guidance
and the outcome of high level trade talks between the United
States and China, while drawing relief from Apple Inc's
earnings.
  
",AAPL,
Chinese EV carmaker NIO aims to raise $650 million with convertible bond,"Electric carmaker NIO Inc, among rivals to Tesla in China, launched a $650 million convertible bond on Wednesday, four months after it listed in New York.
  
",TSLA,
UPDATE 2-LG Display warns of panel price weakness as wearables boost Q4 profit,"* LG Display shares fall 4.2 pct
(Adds quote, details on Apple Watches, share price)
  
",AAPL,
Chinese EV carmaker NIO aims to raise $650 mln with convertible bond,"Electric carmaker NIO Inc
, among rivals to Tesla in China, launched a
$650 million convertible bond on Wednesday, four months after it
listed in New York.
  
",TSLA,
"There are 900 mn active iPhones globally, Apple reveals for the first time","The Cupertino, US-based tech giant has also disclosed a whopping 62.8% gross margin in 'services' business",AAPL,
"Nikkei falls, Dainippon Pharma's slide offsets Apple optimism","* Mothers down 8 pct, futures market triggers circuit
breaker
  
",AAPL,
"GLOBAL MARKETS-Shares steady on Apple relief as investors eye Fed, U.S.-China talks","Asian equities steadied on
Wednesday as investors awaited Federal Reserve policy guidance
and the outcome of high level trade talks between the United
States and China, while drawing relief from Apple Inc's
earnings.
  
",AAPL,
"Asian shares steady on Apple relief as investors eye Fed, U.S.-China talks","Asian equities steadied on Wednesday as investors awaited Federal Reserve policy guidance and the outcome of high level trade talks between the United States and China, while drawing relief from Apple Inc's earnings.
  
",AAPL,
S.Korean stocks rise on Apple earnings; Fed rate decision awaited,"Round-up of South Korean financial
markets:
  
",AAPL,
Huawei: What you need to know,"Chinese tech giant Huawei overtook Apple to become the second-largest smartphone seller in the world in 2018. It remains a privately held company, and little is known about its reclusive founder Ren Zhengfei, a former Chinese army engineer who rarely speaks to the media.",AAPL,
Chinese EV carmaker NIO aims to raise $650 million via convertible bond,"Electric carmaker NIO Inc, among rivals to Tesla in China, launched a $650 million five-year convertible bond on Wednesday, aiming to use the proceeds to fund expansion.
  
",TSLA,
Stocks inch up before Fed as Apple relief offsets Brexit complications,"World stocks inched up and the dollar steadied on Wednesday ahead of policy guidance from the U.S. Federal Reserve, with Apple results providing relief while market confidence that a no-deal Brexit can be avoided took a hit.
  
",AAPL,
GLOBAL MARKETS-Stocks inch up before Fed as Apple relief offsets Brexit complications,"World stocks inched up and the
dollar steadied on Wednesday ahead of policy guidance from the
U.S. Federal Reserve, with Apple results providing relief while
market confidence that a no-deal Brexit can be avoided took a
hit.
  
",AAPL,
'Defining moment for Tim Cook': iPhone sale is Apple CEO's toughest task,"Even as he tries to boost iPhone sales, Tim Cook also must prove that Apple can still thrive even if demand doesn't rebound.",AAPL,
Apple's stock is 'cheap' but the iPhone maker needs a 'killer' app or product soon,"Apple's stock is ""cheap"" at the moment, but the iPhone maker needs to innovate in order to return to strong growth, according to one strategist who spoke to CNBC.",AAPL,
Facebook shuts controversial program to pay Apple users for data,Facebook has been under fire for months over its privacy practices and role in the 2016 US presidential election,FB,
Facebook pays teens to install an app that could collect all kinds of data,"Since 2016, Facebook has been paying teenagers and adults to install the so-called ""Facebook Research"" app on their Apple or Android phones.",FB,
Tesla offers lower-priced versions of its Model S and X vehicles after cutting production,"Tesla offers lower-priced versions of its Model S and X vehicles after recently slashing production, and ditching versions of these cars that featured a 75 kWh battery pack.",TSLA,
Cramer on Apple earnings: The haters have 'no more new ammunition',Jim Cramer says Apple's haters are at a loss for ammo against the iPhone maker after its first-quarter earnings report.,AAPL,
"Apple booked $13 billion in revenue from China last quarter, down 27% from a year ago",Apple reported revenue from China in its first quarter 2019 earnings report Tuesday.,AAPL,
"Apple now has $245 billion cash on hand, up 3% from previous quarter",Apple disclosed its cash pile in its first-quarter 2019 earnings report on Tuesday.,AAPL,
"AMD soars 10% after meeting earnings expectations, but revenue misses",AMD President and CEO Lisa Su said she expects 2019 to be another strong year because of AMD's competitive product portfolio.,AMD,
"Apple shares jump after barely beating on earnings, and iPhone sales drop 15% from last year",Apple reported the numbers for its fiscal first quarter under a new structure.,AAPL,
Here's what every major analyst said about Apple's earnings: 'Worse of the bad news is over',"Analysts were mostly unimpressed by Apple's earnings report, but think at least the worst is over for the stock for now.",AAPL,
Stocks steady before Fed as Apple relief offsets Brexit complications,"World stocks and the dollar steadied on Wednesday ahead of policy guidance from the U.S. Federal Reserve, with Apple results providing relief while market confidence that a no-deal Brexit can be avoided took a hit.
  
",AAPL,
US STOCKS-Futures rise on Apple relief,"U.S. stock index futures rose on
Wednesday, as Apple Inc's results offered some relief
to markets ahead of the Federal Reserve's outlook on monetary
policy and another round of U.S.-China trade talks.
  
",AAPL,
GLOBAL MARKETS-Stocks steady before Fed as Apple relief offsets Brexit complications,"* Graphic: World FX rates http://tmsnrt.rs/2egbfVh
(Adds quote, updates prices throughout)
  
",AAPL,
"Stocks making the biggest moves premarket: Boeing, Apple, Alibaba, Tesla & more",Names on the move ahead of the open.,AAPL,
Facebook investors await an update on how the company will make money beyond the News Feed,"With Facebook set to release quarterly results after the market close on Wednesday, Wall Street wants to know how well Stories is doing.",FB,
"US STOCKS-Apple, Boeing set to boost Wall Street at open","* Boeing gains after upbeat earnings, 2019 deliveries
forecast
  
",AAPL,
"Wall Street opens higher on Apple, Boeing boost","U.S. stocks opened higher on Wednesday, as results from Apple Inc and Boeing Co calmed nerves ahead of the Federal Reserve's update on monetary policy and fresh U.S.-China trade talks.
  
",AAPL,
"US STOCKS SNAPSHOT-Wall St opens higher on Apple, Boeing boost","U.S. stocks opened higher on Wednesday,
as results from Apple Inc and Boeing Co calmed
nerves ahead of the Federal Reserve's update on monetary policy
and fresh U.S.-China trade talks.
  
",AAPL,
"Wall Street gains after Apple, Boeing results","U.S. stocks jumped on Wednesday, as relief after Apple Inc's earnings and an upbeat report from Boeing Co eased nerves as investors waited for updates from the Federal Reserve and U.S.-China trade talks.
  
",AAPL,
"US STOCKS-Wall Street gains after Apple, Boeing results","* Boeing gains after upbeat earnings, 2019 deliveries
forecast
  
",AAPL,
?Hanna? Super Bowl Trailer Reveals Amazon Will Release First Episode Right After The Big Game,"Even if you?re not a football fan, there are plenty of reasons to watch this Sunday?s Super Bowl. Namely, there will be a number of brand-new trailers for films that premiere during the commercial breaks. While we already know of a few that are scheduled to show up, Amazon has gone ahead and released one of its trailers a few days early for their upcoming series ?Hanna.? And for good reason, as it would appear that the streaming service is pulling a ?Cloverfield Paradox,? of sorts.
Continue reading ?Hanna? Super Bowl Trailer Reveals Amazon Will Release First Episode Right After The Big Game at The Playlist.",AMZN,
Apple bans Facebook from tech tools for tracking teen browsing habits,"Apple Inc said on Wednesday it
had banned Facebook Inc from a program designed to let
businesses control iPhones used by their employees, saying the
social networking company had improperly used it to track the
web-browsing habits of teenagers.
  
",FB,
"GLOBAL MARKETS-Stocks rise on Apple, Boeing before Fed statement","World stocks and the dollar
rose on Wednesday ahead of policy guidance from the Federal
Reserve, with results from Boeing and Apple and data that showed
U.S. private sector jobs increased more than expected in January
reassuring investors.
  
",AAPL,
"US STOCKS-Apple, Boeing lift Wall Street ahead of Fed decision","* Boeing gains after upbeat earnings, 2019 deliveries
forecast
  
",AAPL,
"US STOCKS-Wall St climbs on Apple, Boeing results; Fed decision eyed","* Indexes up: Dow 1.33 pct, S&P 0.89 pct, Nasdaq 1.30 pct
(Updates to early afternoon)
  
",AAPL,
"NY AG, Governor Cuomo launch probe into Apple's FaceTime bug","New York's new Attorney General Letitia
James and Governor Andrew Cuomo on Wednesday announced https://ag.ny.gov/press-release/attorney-general-james-and-governor-cuomo-announce-investigation-apple-facetime
an investigation into Apple Inc's failure to warn
consumers about a FaceTime bug that lets iPhones users listen to
conversations of others who have not yet accepted a video call.
  
",AAPL,
"GLOBAL MARKETS-Stocks surge on Fed pledge to pause, dollar slips","The dollar slid and equities
surged on Wednesday, fueled at first by Boeing and Apple's
results and later by the Federal Reserve pledging to be patient
with future interest rate hikes, a change in tone stock
investors interpreted as a buy signal.
  
",AAPL,
Tesla posts smaller Q4 profit than previous quarter,"Jan 30 - Tesla Inc on Wednesday reported a smaller
fourth-quarter profit compared with the previous three months
and said Model 3 production volume in California should reach
7,000 units per week by the end of the year.
  
",TSLA,
"UPDATE 1-Facebook quarterly profit, revenue beat estimates","Facebook Inc beat Wall Street
estimates for quarterly revenue and profit on Wednesday, helped
by growth in Instagram business and a steady rise in advertising
spending by companies.
  
",FB,
Qualcomm quarterly revenue misses Wall Street estimates,"Qualcomm Inc missed analysts'
expectations for holiday-quarter revenue, as slowing smartphone
demand in China and the loss of big customer Apple Inc
took a toll on its chip sales.
  
",AAPL,
"Facebook quarterly profit, revenue beat estimates","Facebook Inc topped analysts'
estimates for quarterly revenue and profit on Wednesday, helped
by growth in its Instagram business and a steady rise in
advertising spending by companies.
  
",FB,
Microsoft's Azure revenue growth slows in December quarter,"Microsoft Corp's Azure cloud
computing platform grew at a slower pace in the December quarter
compared with a year earlier, sending shares of the software
giant about 2 percent lower in after-hours trade on Wednesday.
  
",MSFT,
"UPDATE 1-Microsoft's Azure revenue growth slows in December quarter, shares fall","Microsoft Corp's Azure cloud
computing platform grew at a slower pace in the December quarter
compared with a year earlier, sending shares of the software
giant nearly 3 percent lower in after-hours trade on Wednesday.
  
",MSFT,
Google disables iPhone app that studied users' digital habits,"Alphabet Inc's
Google said on Wednesday it disabled an iPhone app that it had
paid some users to install to study their digital habits,
following a similar move late on Tuesday by social media network
Facebook Inc.
  
",FB,
"UPDATE 2-Microsoft's Azure revenue growth slows in December quarter, shares fall","Microsoft Corp on Thursday
reported results largely in line with Wall Street's targets,
though Azure cloud computing sales grew more slowly in the
December quarter than a year earlier.
  
",MSFT,
"UPDATE 2-Facebook profit beats Wall St, shares jump after hours","Facebook Inc on Wednesday reported
its slowest quarterly revenue growth in more than six years as a
public company but  easily beat Wall Street's profit estimates,
soothing investor concerns that rising costs would blunt growth.
  
",FB,
"CORRECTED-UPDATE 2-Microsoft's Azure revenue growth slows in December quarter, shares fall","Microsoft Corp on Thursday
reported results largely in line with Wall Street's targets,
though Azure cloud computing sales grew more slowly in the
December quarter than a year earlier.
  
",MSFT,
"UPDATE 3-Microsoft's Azure revenue growth slows, shares fall","Microsoft Corp on Thursday
reported results largely in line with Wall Street's targets,
though Azure cloud computing sales grew more slowly in the
December quarter than a year earlier.
  
",MSFT,
"CORRECTED-UPDATE 3-Facebook profit beats Wall St, shares jump after hours","Facebook Inc on Wednesday easily
beat Wall Street's profit estimates, soothing investor concerns
that increased spending on the privacy of its users would blunt
growth.
  
",FB,
"UPDATE 1-NY AG, governor probing Apple's response to FaceTime bug","New York Governor Andrew Cuomo and new
Attorney General Letitia James on Wednesday said the state was
probing Apple Inc's failure to warn consumers about a
FaceTime bug that lets iPhones users see and hear others before
they accept a video call.
  
",AAPL,
"UPDATE 4-Microsoft's Azure revenue growth slows, shares fall","Microsoft Corp on Thursday met
Wall Street's targets for its quarterly results and forecast,
though Azure cloud computing sales grew more slowly than a year
earlier.
  
",MSFT,
Apple bans Facebook Research app for paying teens $20/month to access data,"Apple says Facebook was using a distribution mechanism meant for company employees, not outsiders, so Apple has revoked that capability",FB,
"UPDATE 4-Facebook keeps attracting digital ads, shares jump after hours","Facebook Inc reported
better-than-expected profit on Wednesday, showing that digital
advertisers were still flocking to spend money on the service in
order to reach customers even after a series of high profile
embarrassments for the world's largest online social media
network.
  
",FB,
Tesla CFO leaves as automaker promises profits and cheaper cars,"The company also announced that its chief financial officer, Deepak Ahuja, would retire, extending a slide in shares after hours to nearly 6 per cent",TSLA,
"Despite privacy scams & data reaping charges, advertisers stick to Facebook","Facebook posted robust December quarter earnings, beating street estimates- revenues up 30%, as over 100 million users join DAU count",FB,
"Parrikar-Rahul meeting row: Smriti Irani calls Congress chief 'congenital liar', Congress hits back","In a Facebook post, minister of textiles irani said: ""Unquestionably, he (Gandhi) is a congenital liar. The political system is increasingly realising that it is dangerous to even maintain social contact with him in terms of basic political courtesies.""",FB,
French regulator orders Google to take measures on advertising,"France's competition regulator has
ordered Google to take measures regarding some of its
advertising methods, saying these had hit French firm Amadeus
which runs a directory service in France.
  
",GOOGL,
Sheryl Sandberg defends Facebook data-collecting app: Users 'knew they were involved and consented',"""The important thing is that the people involved in that research project knew they were involved and consented,"" Sandberg told CNBC's Julia Boorstin after an earnings report that smashed expectations on Wednesday.",FB,
Tesla shares drop sharply after Musk says CFO Ahuja is leaving the company ? for the second time,"Moving into the CFO role at the electric vehicle maker is Zach Kirkhorn, previously the company's vice president of finance.",TSLA,
Cramer: The strong US dollar hurts companies like Apple more than you think,Jim Cramer shares explains U.S. companies' currency problem and how it's affecting giants like Apple.,AAPL,
Tesla says it has enough cash to 'comfortably settle' its $920 million bond payment due March 1,"Tesla, which released its fourth-quarter earnings Wednesday, assured investors that it has enough cash on hand to handle a large bond payment due in about five weeks.",TSLA,
IPhone and iPad with 'laser-powered 3-D cameras' said to launch in 2020,"Apple is planning to launch a new iPad and a new iPhone with special 3D augmented reality cameras in 2020, according to Bloomberg.",AAPL,
"Tesla shares fall after company posts 4Q profit that misses expectations, replaces CFO","Tesla reported its second consecutive quarterly profit and better-than-expected sales, but its earnings fell short of analysts' expectations.",TSLA,
"Facebook soars after it crushes earnings, posts record profit","Daily active users grew in every geographic area, reversing a downward trend in Europe and a plateau in North America.",FB,
Microsoft slips on revenue miss,Microsoft's total revenue was slightly below consensus as Windows device revenue declined. But Azure revenue growth was stable.,MSFT,
